word,tfidf
pennsylvania,0.1389483904875586
trump,0.08868895776797352
us,0.2778967809751172
กคร,0.0
กม,0.1389483904875586
กย,0.0
กรอบย,0.0
กส,0.1389483904875586
กา,0.1389483904875586
การช,0.1389483904875586
การณ,0.0
การเผยแพร,0.1389483904875586
กเเล,0.0
ของม,0.1389483904875586
คคล,0.0
คนพวกน,0.0
คร,0.1389483904875586
งด,0.0
งท,0.0
งน,0.0
งประธานาธ,0.0
งหาร,0.1389483904875586
งเกตท,0.0
งเส,0.1389483904875586
งแรก,0.0
งและหลายเหต,0.0
งโดนแค,0.0
งใส,0.1389483904875586
งไก,0.0
งไกด,0.0
งๆ,0.0
จอง,0.0
ชายคนน,0.0
ฐอเมร,0.1389483904875586
ฐฯ,0.0
ฐเพนซ,0.1389483904875586
ดข,0.0
ดจากคนอ,0.0
ดฉากย,0.1389483904875586
ดดราม,0.0
ตชายผ,0.0
ตประธานาธ,0.0
ตเลอร,0.1389483904875586
ทธ,0.0
ทร,0.08868895776797352
ทอดหาดใหญ,0.0
นคร,0.0
นจร,0.0
นต,0.0
นท,0.0
นบ,0.0
นม,0.0
นหน,0.1389483904875586
นหย,0.0
นาท,0.21909701407816684
นเก,0.0
นเขาใจด,0.0
นแพทย,0.0
นโทม,0.1389483904875586
นไม,0.0
บด,0.0
บร,0.0
บราชการล,0.1389483904875586
บส,0.1389483904875586
ปล,0.0
ภาพใหม,0.1389483904875586
มของทร,0.1389483904875586
มของโดน,0.0
มน,0.10954850703908342
มป,0.17737791553594703
มพร,0.0
มากๆท,0.0
ยงจร,0.1389483904875586
ยงห,0.0
ยบ,0.0
รษะในการช,0.0
ลด,0.0
ลเวเน,0.1389483904875586
ลแลนพ,0.0
วจร,0.1389483904875586
วยช,0.0
วยส,0.1389483904875586
สหร,0.10954850703908342
หน,0.0
หลายคร,0.0
องก,0.0
องเกรงใจ,0.0
องโดนสาปถ,0.0
อป,0.41684517146267586
อปะการถ,0.0
อมาเขาก,0.1389483904875586
อยปะละเลยขนาดน,0.0
อว,0.0
านาท,0.0
าระบบการป,0.0
าวล,0.1389483904875586
าส,0.1389483904875586
าแปลกใจว,0.0
าโชคด,0.0
เก,0.0
เกาะป,0.0
เคาน,0.1389483904875586
เช,0.0
เป,0.10954850703908342
เพ,0.0
เพราะต,0.0
เล,0.0
เลยส,0.0
เห,0.0
เอาเปร,0.0
เเต,0.0
แต,0.0
แมทธ,0.1389483904875586
และว,0.1389483904875586
และอด,0.0
แสดงว,0.1389483904875586
โดน,0.0
ใช,0.0
ได,0.0
ไม,0.0
